A,B,BitWidth,Exact,Truncated,Simplified,Reduced,Stochastic,AbsError_Truncated,RelError_Truncated,AbsError_Simplified,RelError_Simplified,AbsError_Reduced,RelError_Reduced,AbsError_Stochastic,RelError_Stochastic
4,6,4,10,8,6,2,9,2,0.2,4,0.4,8,0.8,1,0.1
4,6,4,10,8,6,2,7,2,0.2,4,0.4,8,0.8,3,0.3
4,7,4,11,8,7,3,7,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,4,0.36363636363636365
4,7,4,11,8,7,3,3,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,8,0.7272727272727273
4,8,4,12,12,12,12,2,0,0.0,0,0.0,0,0.0,10,0.8333333333333334
4,8,4,12,12,12,12,4,0,0.0,0,0.0,0,0.0,8,0.6666666666666666
4,9,4,13,12,13,13,11,1,0.07692307692307693,0,0.0,0,0.0,2,0.15384615384615385
4,9,4,13,12,13,13,2,1,0.07692307692307693,0,0.0,0,0.0,11,0.8461538461538461
4,10,4,14,12,14,14,6,2,0.14285714285714285,0,0.0,0,0.0,8,0.5714285714285714
4,10,4,14,12,14,14,11,2,0.14285714285714285,0,0.0,0,0.0,3,0.21428571428571427
4,11,4,15,12,15,15,3,3,0.2,0,0.0,0,0.0,12,0.8
4,11,4,15,12,15,15,3,3,0.2,0,0.0,0,0.0,12,0.8
4,12,4,0,0,12,8,6,0,0.0,12,12.0,8,8.0,6,6.0
4,12,4,0,0,12,8,2,0,0.0,12,12.0,8,8.0,2,2.0
4,13,4,1,0,13,9,0,1,1.0,12,12.0,8,8.0,1,1.0
4,13,4,1,0,13,9,4,1,1.0,12,12.0,8,8.0,3,3.0
4,14,4,2,0,14,10,15,2,1.0,12,6.0,8,4.0,13,6.5
4,14,4,2,0,14,10,2,2,1.0,12,6.0,8,4.0,0,0.0
4,15,4,3,0,15,11,7,3,1.0,12,4.0,8,2.6666666666666665,4,1.3333333333333333
4,15,4,3,0,15,11,10,3,1.0,12,4.0,8,2.6666666666666665,7,2.3333333333333335
5,0,4,5,4,5,5,5,1,0.2,0,0.0,0,0.0,0,0.0
5,0,4,5,4,5,5,14,1,0.2,0,0.0,0,0.0,9,1.8
5,1,4,6,4,5,6,14,2,0.3333333333333333,1,0.16666666666666666,0,0.0,8,1.3333333333333333
5,1,4,6,4,5,6,2,2,0.3333333333333333,1,0.16666666666666666,0,0.0,4,0.6666666666666666
5,2,4,7,4,7,7,14,3,0.42857142857142855,0,0.0,0,0.0,7,1.0
5,2,4,7,4,7,7,4,3,0.42857142857142855,0,0.0,0,0.0,3,0.42857142857142855
5,3,4,8,4,7,4,2,4,0.5,1,0.125,4,0.5,6,0.75
5,3,4,8,4,7,4,13,4,0.5,1,0.125,4,0.5,5,0.625
5,4,4,9,8,5,1,15,1,0.1111111111111111,4,0.4444444444444444,8,0.8888888888888888,6,0.6666666666666666
5,4,4,9,8,5,1,10,1,0.1111111111111111,4,0.4444444444444444,8,0.8888888888888888,1,0.1111111111111111
5,5,4,10,8,5,2,15,2,0.2,5,0.5,8,0.8,5,0.5
5,5,4,10,8,5,2,8,2,0.2,5,0.5,8,0.8,2,0.2
5,6,4,11,8,7,3,4,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,7,0.6363636363636364
5,6,4,11,8,7,3,15,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,4,0.36363636363636365
5,7,4,12,8,7,0,8,4,0.3333333333333333,5,0.4166666666666667,12,1.0,4,0.3333333333333333
5,7,4,12,8,7,0,1,4,0.3333333333333333,5,0.4166666666666667,12,1.0,11,0.9166666666666666
5,8,4,13,12,13,13,7,1,0.07692307692307693,0,0.0,0,0.0,6,0.46153846153846156
5,8,4,13,12,13,13,0,1,0.07692307692307693,0,0.0,0,0.0,13,1.0
5,9,4,14,12,13,14,14,2,0.14285714285714285,1,0.07142857142857142,0,0.0,0,0.0
5,9,4,14,12,13,14,10,2,0.14285714285714285,1,0.07142857142857142,0,0.0,4,0.2857142857142857
5,10,4,15,12,15,15,0,3,0.2,0,0.0,0,0.0,15,1.0
5,10,4,15,12,15,15,3,3,0.2,0,0.0,0,0.0,12,0.8
5,11,4,0,12,15,12,6,12,12.0,15,15.0,12,12.0,6,6.0
5,11,4,0,12,15,12,10,12,12.0,15,15.0,12,12.0,10,10.0
5,12,4,1,0,13,9,7,1,1.0,12,12.0,8,8.0,6,6.0
5,12,4,1,0,13,9,10,1,1.0,12,12.0,8,8.0,9,9.0
5,13,4,2,0,13,10,2,2,1.0,11,5.5,8,4.0,0,0.0
5,13,4,2,0,13,10,9,2,1.0,11,5.5,8,4.0,7,3.5
5,14,4,3,0,15,11,6,3,1.0,12,4.0,8,2.6666666666666665,3,1.0
5,14,4,3,0,15,11,6,3,1.0,12,4.0,8,2.6666666666666665,3,1.0
5,15,4,4,0,15,8,9,4,1.0,11,2.75,4,1.0,5,1.25
5,15,4,4,0,15,8,4,4,1.0,11,2.75,4,1.0,0,0.0
6,0,4,6,4,6,6,0,2,0.3333333333333333,0,0.0,0,0.0,6,1.0
6,0,4,6,4,6,6,11,2,0.3333333333333333,0,0.0,0,0.0,5,0.8333333333333334
6,1,4,7,4,7,7,6,3,0.42857142857142855,0,0.0,0,0.0,1,0.14285714285714285
6,1,4,7,4,7,7,14,3,0.42857142857142855,0,0.0,0,0.0,7,1.0
6,2,4,8,4,6,4,4,4,0.5,2,0.25,4,0.5,4,0.5
6,2,4,8,4,6,4,11,4,0.5,2,0.25,4,0.5,3,0.375
6,3,4,9,4,7,5,7,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
6,3,4,9,4,7,5,9,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,0,0.0
6,4,4,10,8,6,2,14,2,0.2,4,0.4,8,0.8,4,0.4
6,4,4,10,8,6,2,11,2,0.2,4,0.4,8,0.8,1,0.1
6,5,4,11,8,7,3,15,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,4,0.36363636363636365
6,5,4,11,8,7,3,1,3,0.2727272727272727,4,0.36363636363636365,8,0.7272727272727273,10,0.9090909090909091
6,6,4,12,8,6,0,3,4,0.3333333333333333,6,0.5,12,1.0,9,0.75
6,6,4,12,8,6,0,12,4,0.3333333333333333,6,0.5,12,1.0,0,0.0
6,7,4,13,8,7,1,13,5,0.38461538461538464,6,0.46153846153846156,12,0.9230769230769231,0,0.0
6,7,4,13,8,7,1,7,5,0.38461538461538464,6,0.46153846153846156,12,0.9230769230769231,6,0.46153846153846156
6,8,4,14,12,14,14,14,2,0.14285714285714285,0,0.0,0,0.0,0,0.0
6,8,4,14,12,14,14,1,2,0.14285714285714285,0,0.0,0,0.0,13,0.9285714285714286
6,9,4,15,12,15,15,2,3,0.2,0,0.0,0,0.0,13,0.8666666666666667
6,9,4,15,12,15,15,1,3,0.2,0,0.0,0,0.0,14,0.9333333333333333
6,10,4,0,12,14,12,5,12,12.0,14,14.0,12,12.0,5,5.0
6,10,4,0,12,14,12,9,12,12.0,14,14.0,12,12.0,9,9.0
6,11,4,1,12,15,13,4,11,11.0,14,14.0,12,12.0,3,3.0
6,11,4,1,12,15,13,14,11,11.0,14,14.0,12,12.0,13,13.0
6,12,4,2,0,14,10,7,2,1.0,12,6.0,8,4.0,5,2.5
6,12,4,2,0,14,10,4,2,1.0,12,6.0,8,4.0,2,1.0
6,13,4,3,0,15,11,8,3,1.0,12,4.0,8,2.6666666666666665,5,1.6666666666666667
6,13,4,3,0,15,11,15,3,1.0,12,4.0,8,2.6666666666666665,12,4.0
6,14,4,4,0,14,8,14,4,1.0,10,2.5,4,1.0,10,2.5
6,14,4,4,0,14,8,5,4,1.0,10,2.5,4,1.0,1,0.25
6,15,4,5,0,15,9,5,5,1.0,10,2.0,4,0.8,0,0.0
6,15,4,5,0,15,9,15,5,1.0,10,2.0,4,0.8,10,2.0
7,0,4,7,4,7,7,0,3,0.42857142857142855,0,0.0,0,0.0,7,1.0
7,0,4,7,4,7,7,12,3,0.42857142857142855,0,0.0,0,0.0,5,0.7142857142857143
7,1,4,8,4,7,4,4,4,0.5,1,0.125,4,0.5,4,0.5
7,1,4,8,4,7,4,1,4,0.5,1,0.125,4,0.5,7,0.875
7,2,4,9,4,7,5,1,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,8,0.8888888888888888
7,2,4,9,4,7,5,7,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
7,3,4,10,4,7,6,15,6,0.6,3,0.3,4,0.4,5,0.5
7,3,4,10,4,7,6,1,6,0.6,3,0.3,4,0.4,9,0.9
